Date,Open,High,Low,Close*,Adj Close**, Volume 
2018-03-23,23995.18,24108.47,23509.06,23533.20,23533.20,482550000
2018-03-22,24526.01,24526.01,23938.74,23957.89,23957.89,439280000
2018-03-21,24723.49,24977.65,24655.40,24682.31,24682.31,343230000
2018-03-20,24650.64,24803.61,24650.64,24727.27,24727.27,342510000
2018-03-19,24893.69,24893.69,24453.14,24610.91,24610.91,377990000
2018-03-16,24877.34,25031.00,24857.09,24946.51,24946.51,654240000
2018-03-15,24837.29,25053.87,24753.29,24873.66,24873.66,316310000
2018-03-14,25086.97,25130.12,24668.83,24758.12,24758.12,356830000
2018-03-13,25257.75,25376.40,24947.50,25007.03,25007.03,447880000
2018-03-12,25372.44,25449.15,25152.02,25178.61,25178.61,362580000
2018-03-09,25004.89,25336.33,25004.89,25335.74,25335.74,371570000
2018-03-08,24853.41,24950.49,24703.05,24895.21,24895.21,327300000
2018-03-07,24758.15,24849.68,24535.12,24801.36,24801.36,394070000
2018-03-06,24965.89,24995.24,24708.41,24884.12,24884.12,331770000
2018-03-05,24471.31,24961.00,24387.15,24874.76,24874.76,383910000
2018-03-02,24394.91,24592.46,24217.76,24538.06,24538.06,437130000
2018-03-01,25024.04,25185.35,24442.56,24608.98,24608.98,506280000
2018-02-28,25485.15,25576.15,25022.42,25029.20,25029.20,451870000
2018-02-27,25735.78,25800.35,25407.83,25410.03,25410.03,438390000
2018-02-26,25403.35,25732.80,25398.56,25709.27,25709.27,473360000
2018-02-23,25050.51,25313.91,25028.73,25309.99,25309.99,335420000
2018-02-22,24855.41,25156.72,24854.83,24962.48,24962.48,378900000
2018-02-21,24988.06,25267.99,24792.99,24797.78,24797.78,456070000
2018-02-20,25124.91,25179.01,24884.19,24964.75,24964.75,421510000
2018-02-16,25165.94,25432.42,25149.26,25219.38,25219.38,406730000
2018-02-15,25047.82,25203.95,24809.42,25200.37,25200.37,416780000
2018-02-14,24535.82,24925.95,24490.36,24893.49,24893.49,431160000
2018-02-13,24540.33,24705.72,24421.03,24640.45,24640.45,374410000
2018-02-12,24337.76,24765.16,24290.48,24601.27,24601.27,496610000
2018-02-09,23992.67,24382.14,23360.29,24190.90,24190.90,735030000
2018-02-08,24902.30,24903.68,23849.23,23860.46,23860.46,657500000
2018-02-07,24892.87,25293.96,24785.44,24893.35,24893.35,504620000
2018-02-06,24085.17,24946.23,23778.74,24912.77,24912.77,823940000
2018-02-05,25337.87,25520.53,23923.88,24345.75,24345.75,714450000
2018-02-02,26061.79,26061.79,25490.66,25520.96,25520.96,522880000
2018-02-01,26083.04,26306.70,26014.44,26186.71,26186.71,410620000
2018-01-31,26268.17,26338.03,26050.98,26149.39,26149.39,479130000
2018-01-30,26198.45,26256.99,26028.42,26076.89,26076.89,448330000
2018-01-29,26584.28,26608.90,26435.34,26439.48,26439.48,421000000
2018-01-26,26466.74,26616.71,26425.35,26616.71,26616.71,477780000
2018-01-25,26313.06,26458.25,26259.72,26392.79,26392.79,401390000
2018-01-24,26282.07,26392.80,26106.94,26252.12,26252.12,518790000
2018-01-23,26214.87,26246.19,26143.90,26210.81,26210.81,433490000
2018-01-22,26025.32,26215.23,25974.65,26214.60,26214.60,431200000
2018-01-19,25987.35,26071.72,25942.83,26071.72,26071.72,585000000
2018-01-18,26149.55,26153.42,25947.32,26017.81,26017.81,492780000
2018-01-17,25910.78,26130.45,25865.02,26115.65,26115.65,522720000
2018-01-16,25987.62,26086.12,25702.99,25792.86,25792.86,606520000
2018-01-12,25638.39,25810.43,25633.08,25803.19,25803.19,376390000
2018-01-11,25398.60,25575.42,25396.19,25574.73,25574.73,346830000
2018-01-10,25348.13,25404.92,25256.99,25369.13,25369.13,341470000
2018-01-09,25312.05,25439.78,25308.41,25385.80,25385.80,333490000
2018-01-08,25308.40,25311.99,25235.41,25283.00,25283.00,341390000
2018-01-05,25114.92,25299.79,25112.01,25295.87,25295.87,358020000
2018-01-04,24964.86,25105.96,24963.27,25075.13,25075.13,403280000
2018-01-03,24850.45,24941.92,24825.55,24922.68,24922.68,456790000
2018-01-02,24809.35,24864.19,24741.70,24824.01,24824.01,341130000
2017-12-29,24849.63,24871.66,24719.22,24719.22,24719.22,270760000
2017-12-28,24807.21,24839.23,24797.13,24837.51,24837.51,200960000
2017-12-27,24766.52,24789.52,24731.68,24774.30,24774.30,225890000
2017-12-26,24715.84,24778.13,24708.42,24746.21,24746.21,208290000
2017-12-22,24764.04,24784.15,24717.51,24754.06,24754.06,255140000
2017-12-21,24778.26,24850.91,24766.27,24782.29,24782.29,339530000
2017-12-20,24838.09,24852.44,24697.11,24726.65,24726.65,341790000
2017-12-19,24834.38,24850.11,24715.60,24754.75,24754.75,335330000
2017-12-18,24739.56,24876.07,24739.56,24792.20,24792.20,354880000
2017-12-15,24585.71,24688.62,24584.44,24651.74,24651.74,635740000
2017-12-14,24631.01,24672.48,24508.66,24508.66,24508.66,314780000
2017-12-13,24525.19,24666.02,24518.30,24585.43,24585.43,325280000
2017-12-12,24452.96,24552.97,24443.83,24504.80,24504.80,342220000
2017-12-11,24338.11,24389.72,24314.74,24386.03,24386.03,300580000
